;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
customers_in_queue; 20.54;46.88;39.12;109.72;36.82;41.94;304.66;10.82;55.34;24.48;140.22;19.74;69.98;72.5;36.26;38.42;23.88;122.86;127.68;30.06;31.2;9.32;26.56;22.02;87.24;99.44;39.48;302.34;149.84;83.62;13.6;11.1;18.28;22.7;35.2;31.1;12.56;14.02;141.98;19.5;3.76;27.06;21.86;14.22;93.84;30.94;42.84;13.4;58.54;86.6;
customers_in_system; 22.74;49.08;41.32;115.54;39.82;45.72;324.54;12.06;59.52;27.82;148.68;21.1;73.54;77.34;40.24;41.82;26.02;133.82;133.94;33.24;33.14;10.6;28.82;23.64;94.76;103.56;44.48;321.92;161.58;89.62;15.36;12.28;20.0;25.64;36.94;34.28;13.88;15.68;150.86;22.12;4.72;27.9;24.64;15.2;100.04;33.62;47.56;14.88;60.78;95.98;
waiting_time; 26.777464999467544;54.741315904925735;45.289756841781475;148.44044224237962;48.749204915903356;62.988174164249294;919.1411714043481;13.309062608409839;77.81949211038456;61.7536286415379;259.8277334181102;22.00006061852186;91.72029114258581;98.8269201641177;61.01394389494199;60.75011487671086;28.563605830026795;380.26799102444727;165.17373306169972;47.54393659178209;35.756498453081576;11.142453197369484;34.04486392016106;25.26155169776528;218.58367978553014;120.50755932397915;139.96327962245056;779.7947151720323;533.7046613335057;159.07099740293359;17.574831968617797;12.575747305930863;22.86404850841224;36.21863847591073;40.213378842374475;42.08677435394812;14.925919866695448;19.31165476053636;243.9969297671432;32.97441443043093;4.788244232169524;28.14312331947986;31.563959197871345;15.945044261668302;186.3311291192839;45.086275341924036;91.59794148903846;16.398552575367873;64.52839196115768;256.6619738080452;
proceeding_time; 29.19560058147392;56.97257801580568;47.4764740266855;154.21691498159245;51.740623304391576;66.78837443952237;938.8841072042917;14.711855344861442;81.88825290704993;64.88715252056288;268.31777549037275;23.302307971310046;95.23526118460309;103.68796411865799;65.01678803402578;64.03610115664958;30.687161484493085;391.21482270833667;170.4014297860057;51.778726577894275;37.53601929832491;12.49046372800715;36.35990574925412;27.026654974567688;225.75966389744303;123.3199945640423;146.72564343645357;780.7004383079761;563.9062033831456;164.86830562795313;19.43896481427325;13.724850122217227;24.835959588686872;39.18396332636227;42.07114824730832;45.14036726898196;16.510320685184475;21.155808353194026;250.22612174976175;38.137120534547435;5.7665686367668165;29.360246508402145;34.112615802526726;17.29126762725571;192.10497644967384;48.45520139586378;96.1304778142258;18.202051978282693;66.51672970700544;259.15222273062;
rejected_counter; 
buf_gt; 

;0;
customers_in_queue; 58.721599999999995;
customers_in_system; 63.047599999999996;
waiting_time; 119.12630555902295;
proceeding_time; 123.33301096293788;
rejected_counter; NaN;
buf_gt; 
